state,action,value
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.2, 0.4]",0,8.316658025884697
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.2, 0.4]",1,8.057039307857789
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.2, 0.4]",2,8.126985127565193
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.2, 0.4]",3,8.086069762436342
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.2, 0.4]",4,7.582901566473752
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",0,1.781313575264324
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",1,1.57230439269678
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",2,1.6316165788483938
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",3,1.571533528724944
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2]",4,1.660095769407696
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",0,1.91451064509809
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",1,1.9248856866148034
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",2,1.9292255840649477
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",3,1.9593107078007819
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",4,1.9269379033074234
"[0.0, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",0,2.3772058139088936
"[0.0, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",1,2.1815360480548356
"[0.0, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",2,2.2081962682779515
"[0.0, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",3,2.1812379336313734
"[0.0, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",4,2.1626473976565417
"[0.0, 0.0, 0.2, 0.1, 0.1, 0.2, 0.3]",0,2.2327324833970548
"[0.0, 0.0, 0.2, 0.1, 0.1, 0.2, 0.3]",1,2.2527154227750255
"[0.0, 0.0, 0.2, 0.1, 0.1, 0.2, 0.3]",2,2.2143173928851994
