state,action,value
"[1.0, 0.4, 0.2, 0.1, 1.0, 0.2, 0.3]",0,7.901798765518453
"[1.0, 0.4, 0.2, 0.1, 1.0, 0.2, 0.3]",1,1.2340129085534475
"[1.0, 0.4, 0.2, 0.1, 1.0, 0.2, 0.3]",2,0.999256208200104
"[1.0, 0.4, 0.2, 0.1, 1.0, 0.2, 0.3]",3,0.9211808589195867
"[1.0, 0.4, 0.2, 0.1, 1.0, 0.2, 0.3]",4,0.4981707618073172
"[0.1, 1.0, 0.1, 1.0, 1.0, 0.1, 1.0]",0,0.06900320713742851
"[0.1, 1.0, 0.1, 1.0, 1.0, 0.1, 1.0]",1,0.008925043674180268
"[0.1, 1.0, 0.1, 1.0, 1.0, 0.1, 1.0]",2,0.03778810822981607
"[0.1, 1.0, 0.1, 1.0, 1.0, 0.1, 1.0]",3,2.821089360626145
"[0.1, 1.0, 0.1, 1.0, 1.0, 0.1, 1.0]",4,0.2333136862045278
"[1.0, 0.2, 0.1, 0.1, 0.1, 1.0, 0.2]",0,3.6506332076798085
"[1.0, 0.2, 0.1, 0.1, 0.1, 1.0, 0.2]",1,0.22142300077391283
"[1.0, 0.2, 0.1, 0.1, 0.1, 1.0, 0.2]",2,0.06752586546398877
"[1.0, 0.2, 0.1, 0.1, 0.1, 1.0, 0.2]",3,0.16048891107972207
"[1.0, 0.2, 0.1, 0.1, 0.1, 1.0, 0.2]",4,0.34150150044417305
"[1.0, 0.2, 1.0, 0.1, 0.1, 1.0, 0.2]",0,0.018501652676536508
"[1.0, 0.2, 1.0, 0.1, 0.1, 1.0, 0.2]",1,0.05894895187317768
"[1.0, 0.2, 1.0, 0.1, 0.1, 1.0, 0.2]",2,0.07969107626534033
"[1.0, 0.2, 1.0, 0.1, 0.1, 1.0, 0.2]",3,0.040169889498421804
"[1.0, 0.2, 1.0, 0.1, 0.1, 1.0, 0.2]",4,2.930998778681632
"[0.0, 0.2, 0.1, 1.0, 1.0, 0.1, 0.2]",0,0.3007943780431668
"[0.0, 0.2, 0.1, 1.0, 1.0, 0.1, 0.2]",1,0.2561779715915185
"[0.0, 0.2, 0.1, 1.0, 1.0, 0.1, 0.2]",2,0.1803181803914672
"[0.0, 0.2, 0.1, 1.0, 1.0, 0.1, 0.2]",3,0.298482296022867
"[0.0, 0.2, 0.1, 1.0, 1.0, 0.1, 0.2]",4,4.862301317629342
"[0.0, 0.2, 1.0, 0.1, 0.1, 0.2, 0.2]",0,1.1055857014254131
"[0.0, 0.2, 1.0, 0.1, 0.1, 0.2, 0.2]",1,0.775208647974472
"[0.0, 0.2, 1.0, 0.1, 0.1, 0.2, 0.2]",2,1.6428723486977437
"[0.0, 0.2, 1.0, 0.1, 0.1, 0.2, 0.2]",3,0.8568029504068795
"[0.0, 0.2, 1.0, 0.1, 0.1, 0.2, 0.2]",4,7.427695316699534
"[0.0, 0.2, 0.2, 0.1, 0.1, 0.2, 0.2]",0,0.7454800946022649
"[0.0, 0.2, 0.2, 0.1, 0.1, 0.2, 0.2]",1,1.0191663953422676
"[0.0, 0.2, 0.2, 0.1, 0.1, 0.2, 0.2]",2,1.952145822608419
"[0.0, 0.2, 0.2, 0.1, 0.1, 0.2, 0.2]",3,2.225362756031631
"[0.0, 0.2, 0.2, 0.1, 0.1, 0.2, 0.2]",4,7.432028969203302
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,6.772165529428109
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,4.434877897802099
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2,4.444690279475931
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",3,4.4265617269282105
