episode,total_score,q_size
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
5,-7.917981072555174,1
6,46.15894039735068,1
7,-4.025974025973957,1
8,0.5084745762712376,1
9,-4.169741697416923,1
10,-14.56790123456783,1
11,12.207792207792007,1
12,-13.713355048859862,1
13,46.628352490421115,1
14,0.4878048780486839,1
15,-12.578397212543482,1
16,-9.591836734693825,1
17,16.099290780141683,1
18,-8.494623655913905,1
19,-5.945017182130579,1
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
5,-7.917981072555174,1
6,46.15894039735068,1
7,-4.025974025973957,1
8,0.5084745762712376,1
9,-4.169741697416923,1
10,-14.56790123456783,1
11,12.207792207792007,1
12,-13.713355048859862,1
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
5,-7.917981072555174,1
6,46.15894039735068,1
7,-4.025974025973957,1
8,0.5084745762712376,1
9,-4.169741697416923,1
10,-14.56790123456783,1
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
5,-7.917981072555174,1
6,46.15894039735068,1
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
5,-7.917981072555174,1
6,46.15894039735068,1
7,-4.025974025973957,1
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
5,-7.917981072555174,1
6,46.15894039735068,1
7,-4.025974025973957,1
8,0.5084745762712376,1
9,-4.169741697416923,1
10,-14.56790123456783,1
11,12.207792207792007,1
12,-13.713355048859862,1
13,46.628352490421115,1
14,0.4878048780486839,1
15,-12.578397212543482,1
16,-9.591836734693825,1
17,16.099290780141683,1
18,-8.494623655913905,1
19,-5.945017182130579,1
20,42.916666666666444,1
21,-0.9677419354838042,1
22,-8.571428571428525,1
23,-8.193146417445412,1
24,30.498220640569368,1
25,11.044776119403078,1
26,-6.653696498054403,1
27,-6.8211920529800985,1
28,0.4878048780488229,1
29,-7.272727272727199,1
30,-2.3183391003460225,1
31,-3.5849056603773977,1
32,38.85245901639322,1
33,25.555555555555408,1
34,35.830721003134784,1
35,8.86925795053011,1
36,25.01618122977331,1
37,12.904290429042943,1
38,-7.358490566037675,1
39,0.10033444816048448,1
40,-14.520123839009214,1
41,8.062283737024252,1
42,8.610038610038632,1
43,-11.617647058823458,1
44,-11.549815498154915,1
45,3.5820895522387484,1
46,8.610038610038673,1
1,0.534351145038218,1
1,0.534351145038218,1
2,-7.443609022556345,1
1,0.534351145038218,1
2,-7.443609022556345,1
3,-8.02197802197795,1
4,-7.346278317152088,1
5,-7.917981072555174,1
6,46.15894039735068,1
7,-4.025974025973957,1
