state,action,value
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 2.0]",0,4.98692747671096
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 2.0]",1,5.413201465825213
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 2.0]",2,5.28164027261003
"[0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 2.0]",3,5.325826225222733
"[0.3, 0.3, 0.1, 0.1, 0.1, 0.1, 0.3, 0.0, 2.0]",0,-0.42066332881879503
"[0.3, 0.3, 0.1, 0.1, 0.1, 0.1, 0.3, 0.0, 2.0]",1,-0.42016802237802625
"[0.3, 0.3, 0.1, 0.1, 0.1, 0.1, 0.3, 0.0, 2.0]",2,-0.42340099256742847
"[0.3, 0.3, 0.1, 0.1, 0.1, 0.1, 0.3, 0.0, 2.0]",3,-0.42201225106707224
"[0.3, 0.3, 0.2, 0.1, 0.1, 0.2, 0.4, 0.0, 2.0]",0,-0.3792529399339131
"[0.3, 0.3, 0.2, 0.1, 0.1, 0.2, 0.4, 0.0, 2.0]",1,-0.37799973110228874
"[0.3, 0.3, 0.2, 0.1, 0.1, 0.2, 0.4, 0.0, 2.0]",2,-0.37951436995722654
"[0.3, 0.3, 0.2, 0.1, 0.1, 0.2, 0.4, 0.0, 2.0]",3,-0.3764416539095669
"[0.3, 0.3, 0.2, 0.2, 0.1, 0.2, 0.4, 0.0, 2.0]",0,-0.33246384781368793
"[0.3, 0.3, 0.2, 0.2, 0.1, 0.2, 0.4, 0.0, 2.0]",1,-0.32983776658441927
"[0.3, 0.3, 0.2, 0.2, 0.1, 0.2, 0.4, 0.0, 2.0]",2,-0.3303204015680335
"[0.3, 0.3, 0.2, 0.2, 0.1, 0.2, 0.4, 0.0, 2.0]",3,-0.333757906206426
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",0,-0.20780956387759175
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",1,-0.23842174579590983
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",2,-0.20991616034192903
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",3,-0.1851785259076891
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",0,-0.1876916731940551
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",1,-0.17212749964914678
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",2,-0.09879513133276728
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 1.0, 2.0]",3,-0.1729048374329127
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 1.0, 2.0]",0,-0.04818161165812146
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 1.0, 2.0]",1,-0.10480910690757438
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 1.0, 2.0]",2,0.04318021489286112
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 1.0, 2.0]",3,-0.003723819179337455
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",0,0.1683644044886938
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",1,0.07526328066700123
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",2,0.17138209257563777
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",3,0.2570071474711301
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",0,0.46379745201122924
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",1,0.04900320085412239
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",2,0.3479894236469537
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 1.0, 2.0]",3,0.4045652729457157
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",0,0.117550420686769
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",1,0.06625241258685433
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",2,0.05462081414370944
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",3,0.0704568971810785
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",0,0.6224234356216801
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",1,0.18420340835509214
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",2,0.6075950814584656
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",3,0.8219639777605183
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",0,0.620531975935313
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",1,0.2884374898016216
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",2,1.074372699146281
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",3,0.49437656660110285
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",0,1.0691595728528944
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",1,0.8281265826093952
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",2,0.7288067105001242
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",3,0.8720256211786839
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",0,0.7708471198699329
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",1,0.4885535844825621
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",2,0.7689988977815507
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",3,0.8894714321552096
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",0,0.721256355896992
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",1,0.2915502581804035
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",2,0.3189560419512395
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",3,0.3139969338830174
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 1.0, 2.0]",0,0.6496030176833583
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 1.0, 2.0]",1,0.5195961462560148
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 1.0, 2.0]",2,0.6630783769084472
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 1.0, 2.0]",3,0.7845352142139083
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",0,1.3030821838093485
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",1,1.082698732952195
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",2,1.0953549017903415
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",3,1.4380962491142477
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 0.0, 2.0]",0,0.22033962877156843
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 0.0, 2.0]",1,-0.12031914455334446
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 0.0, 2.0]",2,0.14840768167024276
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 0.0, 2.0]",3,0.1056802866934525
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",0,1.0388637093186144
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",1,0.8390017104661077
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",2,1.507233409314064
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",3,1.0123603408198394
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",0,1.811492205023304
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",1,1.654818896242444
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",2,1.7177920252713812
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",3,1.7371628181997256
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",0,0.3296557739797856
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",1,0.17553786683787884
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",2,0.3673111820436923
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",3,0.7752249231401012
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",0,0.5962822654007363
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",1,0.7692434087425438
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",2,0.7367940645640365
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",3,0.7729465066824356
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",0,-0.14774238366859374
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",1,-0.3420306958372721
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",2,0.11548909525853861
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",3,-0.028553664964852066
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",0,0.10944485701237167
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",1,0.1770925474730561
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",2,0.17795503543463578
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 1.0, 2.0]",3,0.16740361748070579
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",0,0.7334883207842763
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",1,0.48669901956746003
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",2,0.5535872574710159
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 2.0, 2.0]",3,0.5756075946943606
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",0,-0.11713275088922423
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",1,-0.26759025283197785
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",2,-0.22599787218389403
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.0, 0.0, 2.0]",3,0.2494444916230825
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",0,1.1334119568566705
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",1,1.02363219717912
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",2,0.9698516981884933
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 2.0, 2.0]",3,1.016202608469527
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",0,0.6751030887777122
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",1,0.5474338536451159
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",2,0.6749296363335355
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 1.0, 2.0]",3,1.0750740273062227
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",0,0.32509667957994504
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",1,0.1306454904879588
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",2,0.5645514991581643
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 0.0, 2.0]",3,0.3306797283530087
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",0,-0.27690029372895414
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",1,-0.28957449500527316
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",2,-0.2808071340796601
"[0.3, 0.3, 0.2, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",3,-0.2917582914693736
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",0,-0.2591647683588137
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",1,-0.27337980425295816
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",2,-0.20615557268238235
"[0.3, 0.3, 0.3, 0.2, 0.2, 0.3, 0.4, 0.0, 2.0]",3,-0.21053623511894592
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 0.0, 2.0]",0,-0.031325914187554274
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 0.0, 2.0]",1,-0.03442626210208962
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 0.0, 2.0]",2,0.021609827238297658
"[0.3, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 0.0, 2.0]",3,0.014528887926397881
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",0,-0.06444882692708011
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",1,-0.1469384108175643
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",2,-0.0800728060720014
"[0.3, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",3,-0.07250337476592293
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",0,0.846752364071393
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",1,0.4901049823505584
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",2,0.8384178076431255
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",3,1.1403999889432406
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",0,0.19918188408565557
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",1,0.10011955310734416
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",2,0.19091537785770313
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",3,0.2929004598103323
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",0,1.0233706354902674
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",1,0.9249448976193713
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",2,1.258184763245251
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 2.0, 2.0]",3,1.2299886256522286
