episode,score,q_size
0,-18.052272128557785,29
1,-18.0702663781118,39
2,-18.691579139669575,44
3,-18.693274639095613,44
4,-10.329482626981244,51
5,0.007380548995170211,106
6,-16.892262624022255,117
7,-10.906875478098906,123
8,-23.45534095694485,123
9,-8.521763867436004,123
10,-8.666785282631489,177
11,-0.4210186948094462,188
12,-9.750974530411042,192
13,-18.68613027874196,200
14,-5.530742587366125,244
15,2.728082455148749,258
16,-7.926901970050714,258
17,-9.180843790062104,291
18,-14.515080535310949,293
19,-14.49989339447719,293
20,-9.171240732727332,293
21,-7.560968324853546,317
22,-1.9647349715944722,327
23,-21.68337691182542,328
24,-4.09212085303714,370
25,-5.214509570381324,388
26,4.830597253928364,403
27,-1.758209228874876,428
28,-2.8763901252123993,431
29,-2.5579025244592604,441
30,6.033587612847546,457
31,-6.172932815903151,457
32,-1.4239053243455624,468
33,-3.356340165356281,475
0,3.421079076621387,461
1,-13.161101592824775,477
2,-7.225018817724185,502
3,-10.242071860659804,508
4,9.060920592996373,539
5,-1.4999023893771235,547
6,-3.265833317185702,553
7,-10.276780835692552,555
8,-9.617745273066982,569
9,-16.220139053910454,603
10,-12.64328151842518,630
11,-15.301803050643288,660
12,0.1438422447219148,674
13,5.403022233472125,687
14,-12.80489966164592,689
15,-6.859972672250977,703
16,-6.28669203111606,717
17,-9.994132548269922,717
18,-5.5176576677589395,720
19,-12.839185778020955,721
20,-11.752118618061104,724
21,-24.949668759329793,727
22,-28.8983059495404,734
23,-11.542621335553436,740
24,-5.231231202807896,748
25,-3.2286067085920793,752
26,3.56105360709421,766
27,-4.827124504037805,772
28,-8.241839219587265,772
29,-5.349931796416921,778
30,-17.22178256294166,797
31,-1.6203071182730469,801
32,-17.553690425342303,804
33,-6.500042125378932,806
34,-16.852787751242925,838
35,-2.6596052664833723,847
36,-15.936681583053431,884
37,-22.974428614747595,898
38,-8.929716777847872,899
39,-23.20430639801133,901
40,-9.68658395973268,906
41,-11.277133356917318,908
42,1.3867041769336814,912
43,-9.24658658213852,913
44,-3.6890428566158255,913
45,2.391865164701757,914
46,-0.8351494363742304,916
47,-15.752950093886097,948
48,-19.17532514800656,988
49,-13.410252173779686,1015
50,-21.96525460439196,1046
51,-12.081319268012779,1046
52,-16.461449147781032,1048
53,-16.52940342887917,1084
54,1.6912662836429193,1089
55,-5.737159604858533,1101
56,-0.03604173106252044,1120
57,-24.86943923228628,1138
58,-3.7578591263049064,1141
59,-10.133223648424734,1183
60,-20.758550900562817,1185
61,-18.60859651000155,1212
62,-15.304758576606908,1245
63,-13.108573047277325,1247
64,-10.814678243167654,1248
65,-11.212073218668907,1249
66,-20.177940645478408,1252
67,-9.935983387046917,1254
68,-23.94898094428563,1297
69,-10.73839405188398,1306
70,-7.531604762866003,1308
71,-9.14850737034542,1310
72,-19.139384831611665,1310
73,6.0333291491718315,1311
74,-6.237285045548977,1314
75,-13.917505386794161,1317
76,-19.255717398846862,1330
77,-10.56235055883817,1330
78,-15.114398562559355,1331
79,-9.219158852232507,1345
80,-11.342370410112437,1351
81,-8.22010308258895,1352
82,-13.082135288004656,1358
83,-13.435944087666293,1361
84,-15.725504260853635,1361
85,-28.210527211467088,1395
86,-29.41934728937085,1428
87,-17.422481116368733,1430
88,-13.549029303681424,1430
89,-12.335999145422777,1438
90,-13.08876659635878,1466
91,-27.718837908013555,1481
92,-19.66083640149537,1492
93,-20.787290919691127,1494
94,-8.101873209680969,1500
95,-15.173000194080068,1500
96,-13.725424708977108,1500
97,-16.827587212742493,1505
98,-9.354174830436229,1506
99,-10.298168890597495,1509
100,-4.0692822096297325,1509
101,-13.189445156695502,1509
102,-21.049736513449655,1542
103,-12.79692584835986,1544
104,-17.972130852370977,1551
105,-3.9599213625662104,1563
106,-7.746205808583871,1566
107,-10.299483623534279,1570
108,-19.668230630700226,1580
109,-15.172164198931362,1580
110,-23.156511164036043,1613
111,-16.760101366180443,1652
112,-7.364510963961205,1652
113,-4.30804809469821,1656
114,-12.47954066785373,1661
115,-7.265854322006632,1661
116,-9.659856133788171,1671
117,-9.307169751691832,1671
118,-29.775185296223736,1683
119,-12.459322347258457,1688
120,-9.034202350664852,1689
121,-8.161920645647312,1690
122,-11.654005806804609,1694
123,-10.892873459160926,1701
124,-24.76299073169168,1714
125,-14.31093143402446,1717
126,-23.278371923167576,1742
127,-19.587242928811165,1750
128,-18.114867894198575,1754
129,-26.148805925707016,1755
130,-22.04669879721028,1757
131,-23.382186201031214,1759
132,-13.191516537450475,1761
133,-19.803666040205385,1763
134,-23.75433310087993,1791
135,-21.550978169953876,1801
136,-28.158170787131283,1811
137,-29.843624814706207,1825
138,-15.638715880390123,1826
139,-30.563632812894355,1842
140,-26.63631487449874,1843
141,-25.675635298716163,1865
142,-26.468038644160668,1884
143,-26.785628456670473,1885
144,-21.012267573983166,1885
145,-21.833757075572834,1885
146,-13.367230565435339,1886
147,-26.56071843396638,1903
148,-38.92721844777907,1917
149,-26.75760373300221,1963
150,-25.105444951530213,1964
151,-34.33351451367039,1981
152,-35.35049934054131,1997
153,-6.8996098474718215,2003
154,-9.957499191410493,2016
155,-12.198726731633823,2019
156,-28.3648914565631,2031
157,-12.896556904156558,2032
158,-6.728638744041731,2064
159,-17.161876433438817,2065
160,-14.990599105599811,2070
161,-16.56012326894308,2073
162,-20.961459148002184,2081
163,-13.731072812568609,2081
164,-13.623280604082165,2088
165,-22.99042668924226,2089
166,-26.34640802396395,2090
167,-18.080518686575115,2092
168,-25.174971463945386,2093
169,-34.962851642675204,2148
170,-11.18725454156187,2150
171,-22.16724300247776,2167
172,-21.32768017724013,2167
173,-21.273082882164115,2168
174,-14.566276604633867,2173
175,-32.03437109609769,2185
176,-39.383781524136815,2207
177,-37.79333518897982,2211
178,-29.296031441184677,2214
179,-17.886575233921338,2215
180,-14.103225302408298,2217
181,-23.601742326658233,2217
182,-24.212276106817825,2226
183,-35.44817529916862,2241
184,-30.66388107347013,2253
185,-43.86744419306937,2306
186,-22.960384508531035,2325
187,-18.793649157052492,2366
188,-15.913935850889924,2367
189,-24.422724492854854,2367
190,-23.121605100918362,2368
191,-33.897341935214875,2378
192,-14.853291231716394,2388
193,-8.831689820919644,2388
194,-31.772526145126164,2396
195,-35.18235864072742,2417
196,-42.31735618510433,2426
197,-45.45570677549654,2490
198,-43.20877692907902,2542
199,-35.508706976644184,2548
200,-41.206554994504785,2561
201,-36.614879738683605,2572
202,-45.07275993997503,2607
203,-28.931163054524543,2607
204,-30.69453130718205,2632
205,-36.91059734066304,2641
206,-25.30438001005768,2642
207,-42.35129088512158,2649
208,-19.312462323175883,2654
209,-16.97563546836667,2654
210,-24.172510109200235,2657
211,-28.125743176080565,2717
212,-4.974950866357265,2720
213,-23.82780339399959,2734
214,-17.291414500595472,2734
215,-20.028346345505106,2734
216,-26.245282171066652,2740
217,-32.23368975329746,2770
218,-37.84550135775077,2774
